date,season,home_team_id,away_team_id,home_team_name,away_team_name,home_score,away_score
2025-05-02,2025,17,3,Las Vegas Aces,Dallas Wings,112,78
2025-05-02,2025,19,17473,Chicago Sky,Brazil,89,62
2025-05-03,2025,5,16,Indiana Fever,Washington Mystics,79,74
2025-05-04,2025,5,17473,Indiana Fever,Brazil,108,44
2025-05-04,2025,14,18,Seattle Storm,Connecticut Sun,79,59
2025-05-06,2025,19,8,Chicago Sky,Minnesota Lynx,74,69
2025-05-06,2025,129689,6,Golden State Valkyries,Los Angeles Sparks,82,83
2025-05-06,2025,17,11,Las Vegas Aces,Phoenix Mercury,85,84
2025-05-07,2025,16,20,Washington Mystics,Atlanta Dream,70,80
2025-05-09,2025,9,18,New York Liberty,Connecticut Sun,86,94
2025-05-10,2025,20,5,Atlanta Dream,Indiana Fever,76,81
2025-05-10,2025,8,19,Minnesota Lynx,Chicago Sky,92,87
2025-05-10,2025,3,130927,Dallas Wings,Toyota Antelopes,119,52
2025-05-11,2025,11,129689,Phoenix Mercury,Golden State Valkyries,79,84
2025-05-12,2025,9,130927,New York Liberty,Toyota Antelopes,84,61
2025-05-16,2025,16,20,Washington Mystics,Atlanta Dream,94,90
2025-05-16,2025,3,8,Dallas Wings,Minnesota Lynx,84,99
2025-05-16,2025,129689,6,Golden State Valkyries,Los Angeles Sparks,67,84
2025-05-17,2025,9,17,New York Liberty,Las Vegas Aces,92,78
2025-05-17,2025,5,19,Indiana Fever,Chicago Sky,93,58
2025-05-17,2025,11,14,Phoenix Mercury,Seattle Storm,81,59
2025-05-18,2025,18,16,Connecticut Sun,Washington Mystics,85,90
2025-05-18,2025,6,8,Los Angeles Sparks,Minnesota Lynx,75,89
2025-05-19,2025,3,14,Dallas Wings,Seattle Storm,71,79
2025-05-20,2025,18,17,Connecticut Sun,Las Vegas Aces,62,87
2025-05-20,2025,5,20,Indiana Fever,Atlanta Dream,90,91
2025-05-21,2025,8,3,Minnesota Lynx,Dallas Wings,85,81
2025-05-21,2025,129689,16,Golden State Valkyries,Washington Mystics,76,74
2025-05-21,2025,11,6,Phoenix Mercury,Los Angeles Sparks,89,86
2025-05-22,2025,20,5,Atlanta Dream,Indiana Fever,76,81
2025-05-22,2025,19,9,Chicago Sky,New York Liberty,74,99
2025-05-23,2025,8,18,Minnesota Lynx,Connecticut Sun,76,70
2025-05-23,2025,17,16,Las Vegas Aces,Washington Mystics,75,72
2025-05-23,2025,6,129689,Los Angeles Sparks,Golden State Valkyries,73,82
2025-05-23,2025,14,11,Seattle Storm,Phoenix Mercury,77,70
2025-05-24,2025,5,9,Indiana Fever,New York Liberty,88,90
2025-05-24,2025,20,3,Atlanta Dream,Dallas Wings,83,75
2025-05-25,2025,20,18,Atlanta Dream,Connecticut Sun,79,55
2025-05-25,2025,6,19,Los Angeles Sparks,Chicago Sky,91,78
2025-05-25,2025,11,16,Phoenix Mercury,Washington Mystics,68,62
2025-05-25,2025,14,17,Seattle Storm,Las Vegas Aces,102,82
2025-05-27,2025,18,3,Connecticut Sun,Dallas Wings,87,109
2025-05-27,2025,9,129689,New York Liberty,Golden State Valkyries,95,67
2025-05-27,2025,8,14,Minnesota Lynx,Seattle Storm,82,77
2025-05-27,2025,6,20,Los Angeles Sparks,Atlanta Dream,82,88
2025-05-27,2025,11,19,Phoenix Mercury,Chicago Sky,94,89
2025-05-28,2025,16,5,Washington Mystics,Indiana Fever,83,77
2025-05-29,2025,9,129689,New York Liberty,Golden State Valkyries,82,77
2025-05-29,2025,19,3,Chicago Sky,Dallas Wings,97,92
2025-05-30,2025,5,18,Indiana Fever,Connecticut Sun,83,85
2025-05-30,2025,16,9,Washington Mystics,New York Liberty,63,85
2025-05-30,2025,17,6,Las Vegas Aces,Los Angeles Sparks,96,81
2025-05-30,2025,11,8,Phoenix Mercury,Minnesota Lynx,71,74
2025-05-30,2025,14,20,Seattle Storm,Atlanta Dream,87,94
2025-05-31,2025,3,19,Dallas Wings,Chicago Sky,83,94
2025-06-01,2025,9,18,New York Liberty,Connecticut Sun,100,52
2025-06-01,2025,6,11,Los Angeles Sparks,Phoenix Mercury,80,85
2025-06-01,2025,14,17,Seattle Storm,Las Vegas Aces,70,75
2025-06-01,2025,129689,8,Golden State Valkyries,Minnesota Lynx,75,86
2025-06-03,2025,5,16,Indiana Fever,Washington Mystics,85,76
2025-06-03,2025,8,11,Minnesota Lynx,Phoenix Mercury,88,65
